application_id,customer_id,application_date,loan_type,loan_purpose,requested_amount,term_months,interest_rate,monthly_payment,debt_to_income_ratio,status,decision_date,decision_reason,underwriter_id,approval_score,approved_amount,credit_score_at_application
4db84091-a83d-47f8-8023-2c367504807f,CUST10008,2024-01-22,Auto,Major Purchase,10935.95,48,15.92,309.48,15.23,Rejected,2024-02-02,Insufficient credit score,UW3240,,,509
0190a0e2-19ba-47b3-a69c-37fcbaef45da,CUST10008,2023-06-05,Student,Education,19654.7,180,16.45,294.83,14.51,Approved,2023-06-15,,UW2476,786.0,15917.44,509
67f42212-9f5b-42b7-ab6b-620dbd065dc6,CUST10010,2022-05-07,Home Equity,Home Improvement,30442.03,180,9.8,323.45,11.36,Approved,2022-05-13,,UW5465,871.0,27403.29,652
5c8dc133-0cff-434d-8fc0-b1128121f6b6,CUST10010,2022-05-07,Home Equity,Home Improvement,56376.22,240,10.36,557.7,19.59,Approved,2022-05-19,,UW8673,773.0,52453.75,652
bbb613c9-7cad-439c-b4d6-28a249934501,CUST10014,2025-01-25,Home Equity,Debt Consolidation,85587.28,240,6.9,658.67,12.3,Approved,2025-02-01,,UW7464,885.0,82873.2,850
fc4d6e48-ad42-42e5-b0a3-cf4a42619fb5,CUST10014,2023-07-25,Personal,Education,20209.99,24,11.53,946.97,17.68,Approved,2023-08-04,,UW7086,795.0,20030.54,850
dd7c0d60-2045-4715-93bd-bc3a71f19564,CUST10014,2024-01-30,Personal,Debt Consolidation,21594.74,12,11.61,1914.75,35.74,Approved,2024-02-09,,UW8606,713.0,21214.29,850
5123a5ed-c1b7-4035-8b66-0dc9c30374bc,CUST10014,2022-05-07,Home Equity,Home Improvement,40015.89,180,7.28,365.96,6.83,Approved,2022-05-12,,UW4846,852.0,38247.43,850
210e19eb-4cf8-4ec6-9bf5-25868911022e,CUST10014,2025-02-13,Home Equity,Debt Consolidation,96006.71,180,6.49,835.83,15.6,Approved,2025-02-22,,UW3531,814.0,94025.8,850
47ebf897-ffaf-4351-9d7f-7d8e268b15ea,CUST10015,2023-04-28,Home Equity,Home Improvement,57491.54,240,18.18,895.29,262.29,Rejected,2023-05-03,High debt-to-income ratio and low credit score,UW1536,,,488
6cd7b3bd-b70b-4d77-81d8-86c52c0e0277,CUST10016,2024-09-05,Credit Card,Debt Consolidation,7563.77,24,20.27,385.95,9.55,Approved,2024-09-16,,UW6876,788.0,6841.02,653
5659642e-de06-45f9-99ef-cf6dabb20e37,CUST10016,2022-11-09,Personal,Debt Consolidation,8506.16,60,14.91,201.95,5.0,Approved,2022-11-11,,UW1349,708.0,7776.08,653
3e890b21-97f6-4b21-be24-9fee24304bba,CUST10016,2022-05-07,Personal,Home Improvement,14784.52,60,14.92,351.13,8.69,Approved,2022-05-21,,UW4538,883.0,12873.11,653
3de574d5-ebf4-4b85-9c88-cd60c47afe7c,CUST10017,2024-04-20,Home Equity,Home Improvement,42126.72,180,7.27,385.11,23.11,Approved,2024-04-25,,UW9850,674.0,42100.44,827
5d19f1aa-faca-43ce-82d3-ef18997552a5,CUST10017,2023-07-14,Auto,Major Purchase,36355.66,60,5.26,690.43,41.43,Withdrawn,2023-07-27,,UW4898,,,827
67691dbc-a7e8-4eaf-adf8-db18813df995,CUST10018,2024-09-23,Business,Business Expansion,73423.05,24,21.26,3782.44,105.37,Rejected,2024-09-25,High debt-to-income ratio and low credit score,UW2041,,,428
